0,1,2,3,4,5,6,7
False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True
False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True
True,False,True,False,True,True,True,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False
False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True
False,False,True,False,False,False,True,True
False,False,False,False,False,False,False,False
False,False,False,True,True,True,True,True
False,False,False,False,False,False,False,False
True,True,False,True,True,True,True,True
True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,False
True,False,True,False,True,True,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True
False,False,False,False,True,True,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
True,True,True,True,True,True,True,True
False,False,True,False,True,True,False,True
False,False,False,False,False,False,False,False
